theme_rule_id	rule_definition_source	rule_type	theme_label	mapping_or_rule	theme_target	manual_or_deterministic	current_review_status	current_matching_term_count	current_matching_gene_set_count	current_matching_terms	evidence_classification	author_decision	author_notes
KEGG_01	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Translation / ribosome	ko03010|map03010|Ribosome|K029|K028	Translation / ribosome	manual	REQUIRES_AUTHOR_REVIEW	3	6	K02934;ko03010;map03010	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Translation / ribosome.
KEGG_02	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Genome maintenance / DNA repair	ko03030|map03030|ko034|map034|K107|K108|K109|DNA|repair|replication|recombination	Genome maintenance / DNA repair	manual	REQUIRES_AUTHOR_REVIEW	15	6	K10742;K10747;K10798;K10803;K10866;K10875;K10885;ko03030;ko03410;ko03420;ko03460;map03030;map03410;map03420;map03460	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Genome maintenance / DNA repair.
KEGG_03	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Cell cycle regulation	ko04110|map04110|ko04111|map04111|ko04113|map04113|cell cycle	Cell cycle regulation	manual	REQUIRES_AUTHOR_REVIEW	6	3	ko04110;ko04111;ko04113;map04110;map04111;map04113	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Cell cycle regulation.
KEGG_04	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Protein turnover / proteostasis	ko03050|map03050|ko04120|map04120|proteasome|ubiquitin|K056	Protein turnover / proteostasis	manual	REQUIRES_AUTHOR_REVIEW	13	5	K05612;K05613;K05641;K05643;K05645;K05665;K05666;K05667;K05674;K05688;K05695;ko03050;map03050	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Protein turnover / proteostasis.
KEGG_05	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Energy / core metabolism	ko00190|map00190|ko01100|map01100|ko01110|map01110|ko01120|map01120|ko01200|map01200|oxidative|metabolism	Energy / core metabolism	manual	REQUIRES_AUTHOR_REVIEW	10	5	ko00190;ko01100;ko01110;ko01120;ko01200;map00190;map01100;map01110;map01120;map01200	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Energy / core metabolism.
KEGG_06	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Stress signaling / signal transduction	ko04010|map04010|ko04013|map04013|ko04022|map04022|ko04151|map04151|ko046|map046|signaling|MAPK	Stress signaling / signal transduction	manual	REQUIRES_AUTHOR_REVIEW	20	8	ko04010;ko04013;ko04022;ko04151;ko04610;ko04612;ko04624;ko04630;ko04657;ko04668;map04010;map04013;map04022;map04151;map04610;map04612;map04624;map04630;map04657;map04668	CURRENT_MATCHING_EVIDENCE	RETAIN_WITH_REVISED_INTERPRETATION	Interpret as signal-transduction / stress-associated pathways. The current matching evidence supports pathway association, but it must not be presented as proof of a demonstrated stress mechanism.
KEGG_07	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Cell adhesion / extracellular interaction	ko045|map045|adhesion|junction|ECM	Cell adhesion / extracellular interaction	manual	REQUIRES_AUTHOR_REVIEW	8	5	ko04510;ko04512;ko04514;ko04550;map04510;map04512;map04514;map04550	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Cell adhesion / extracellular interaction.
KEGG_08	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Cytoskeleton / cellular remodeling	ko048|map048|cytoskeleton|actin	Cytoskeleton / cellular remodeling	manual	REQUIRES_AUTHOR_REVIEW	0	0	NA	NO_CURRENT_EVIDENCE	EXCLUDE_FROM_INTERPRETATION	No current matching terms or gene sets.
KEGG_09	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Neural signaling	ko047|map047|synapse|neuro|neuron	Neural signaling	manual	REQUIRES_AUTHOR_REVIEW	4	2	ko04711;ko04723;map04711;map04723	CURRENT_MATCHING_EVIDENCE	RETAIN	Current matching evidence supports Neural signaling, with support restricted to two current gene sets. Interpret at the pathway-association level only.
KEGG_10	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Endocrine / physiological regulation	ko049|map049|endocrine|hormone|insulin	Endocrine / physiological regulation	manual	REQUIRES_AUTHOR_REVIEW	28	8	ko04915;ko04919;ko04921;ko04923;ko04924;ko04925;ko04926;ko04930;ko04931;ko04932;ko04974;ko04976;ko04977;ko04979;map04915;map04919;map04921;map04923;map04924;map04925;map04926;map04930;map04931;map04932;map04974;map04976;map04977;map04979	CURRENT_MATCHING_EVIDENCE	RETAIN_WITH_REVISED_INTERPRETATION	Interpret as physiological-regulation-associated KEGG pathways. Do not infer a demonstrated endocrine mechanism from ko049-family membership alone.
KEGG_11	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Broad proliferation / regulatory pathway	ko052|map052|cancer	Broad proliferation / regulatory pathway	manual	REQUIRES_AUTHOR_REVIEW	20	7	ko05200;ko05204;ko05206;ko05210;ko05213;ko05215;ko05218;ko05222;ko05224;ko05226;map05200;map05204;map05206;map05210;map05213;map05215;map05218;map05222;map05224;map05226	CURRENT_MATCHING_EVIDENCE	EXCLUDE_FROM_INTERPRETATION	Broad ko052/map052 cancer-pathway matching is too context-dependent to support a specific FSF biological interpretation and must not be presented as evidence for cancer-related biology.
KEGG_12	scripts/current/build_current_biological_review_package.R	KEGG_THEME_MAPPING	Other KEGG / manual review	fallback:TRUE	Other KEGG / manual review	manual	REQUIRES_AUTHOR_REVIEW	0	0	NA	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	EXCLUDE_FROM_INTERPRETATION	No current matching terms or gene sets. Retain only as the defined fallback / manual-review category and do not use it for biological interpretation.
